order_id,line_number,product_id,quantity,unit_price,line_amount
50001,1,2001,2,899,1798
50001,2,2005,1,799,799
50002,1,2004,1,2999,2999
50002,2,2009,2,599,1198
50003,1,2002,1,3499,3499
50004,1,2007,1,4999,4999
50004,2,2009,1,599,599
50005,1,2008,1,6999,6999
50006,1,2006,1,1899,1899
50006,2,2010,1,2499,2499
50007,1,2005,3,799,2397
50008,1,2003,1,1599,1599
50008,2,2010,1,2499,2499
50009,1,2001,1,899,899
50010,1,2008,1,6999,6999
50011,1,2004,1,2999,2999
50011,2,2006,1,1899,1899
50012,1,2002,1,3499,3499
50013,1,2007,1,4999,4999
50014,1,2005,2,799,1598
50014,2,2009,1,599,599
50015,1,2010,2,2499,4998
