order_id,customer_id,order_timestamp,shipping_city,order_status,payment_status,updated_at
50001,1001,2025-04-01 10:15:00,Mumbai,DELIVERED,paid,2026-09-23 11:15:00
50002,1002,2025-04-01 11:30:00,Ahmedabad,delivered,paid,2026-09-23 11:15:00
50003,1003,2025-04-02 09:10:00,Pune,shipped,paid,2026-09-23 11:15:00
50004,1004,2025-04-02 15:45:00,Bengaluru,delivered,paid,2026-09-23 11:15:00
50005,1005,2025-04-03 18:20:00,Delhi,cancelled,refunded,2026-09-23 11:15:00
50006,1006,2025-04-04 12:05:00,Kochi,delivered,paid,2026-09-23 11:15:00
50007,1007,2025-04-05 16:40:00,Jaipur,shipped,paid,2026-09-23 11:15:00
50008,1008,2025-04-06 14:25:00,Hyderabad,delivered,paid,2026-09-23 11:15:00
50009,1009,2025-04-07 20:10:00,Surat,processing,paid,2026-09-23 11:15:00
50010,1010,2025-04-08 10:50:00,Nagpur,delivered,paid,2026-09-23 11:15:00
50011,1001,2025-04-09 13:30:00,Mumbai,delivered,paid,2026-09-23 11:15:00
50012,1003,2025-04-10 17:15:00,Pune,cancelled,refunded,2026-09-23 11:15:00
50013,1006,2025-04-11 11:45:00,Kochi,shipped,paid,2026-09-23 11:15:00
50014,1008,2025-04-12 19:05:00,Hyderabad,delivered,paid,2026-09-23 11:15:00
50015,1009,2025-04-13 09:55:00,Surat,delivered,paid,2026-09-23 11:15:00
50016,1008,2026-09-22 10:30:00,Mumbai,cancelled,paid,2026-09-23 11:15:00
