payment_id,order_id,payment_timestamp,payment_method,payment_amount,payment_status
90001,50001,2025-04-01 10:16:00,UPI,2597,SUCCESS
90002,50002,2025-04-01 11:31:00,credit_card,4197,SUCCESS
90003,50003,2025-04-02 09:11:00,UPI,3499,SUCCESS
90004,50004,2025-04-02 15:46:00,credit_card,5598,SUCCESS
90005,50005,2025-04-03 18:21:00,credit_card,6999,REFUNDED
90006,50006,2025-04-04 12:06:00,UPI,4398,SUCCESS
90007,50007,2025-04-05 16:41:00,wallet,2397,success
90008,50008,2025-04-06 14:26:00,UPI,4098,success
90009,50009,2025-04-07 20:11:00,credit_card,899,success
90010,50010,2025-04-08 10:51:00,UPI,6999,success
90011,50011,2025-04-09 13:31:00,credit_card,4898,success
90012,50012,2025-04-10 17:16:00,credit_card,3499,refunded
90013,50013,2025-04-11 11:46:00,UPI,4999,success
90014,50014,2025-04-12 19:06:00,wallet,2197,success
90015,50015,2025-04-13 09:56:00,credit_card,4998,success
